state,district,category,type,crimes,year
Malaysia,All,assault,all,22327,2016
Malaysia,All,assault,all,21366,2017
Malaysia,All,assault,all,16902,2018
Malaysia,All,assault,all,16489,2019
Malaysia,All,assault,all,13279,2020
Malaysia,All,assault,all,11495,2021
Malaysia,All,assault,all,10348,2022
Malaysia,All,assault,causing_injury,5531,2016
Malaysia,All,assault,causing_injury,5024,2017
Malaysia,All,assault,causing_injury,4660,2018
Malaysia,All,assault,causing_injury,4712,2019
Malaysia,All,assault,causing_injury,4118,2020
Malaysia,All,assault,causing_injury,4063,2021
Malaysia,All,assault,causing_injury,3807,2022
Malaysia,All,assault,murder,456,2016
Malaysia,All,assault,murder,379,2017
Malaysia,All,assault,murder,323,2018
Malaysia,All,assault,murder,310,2019
Malaysia,All,assault,murder,253,2020
Malaysia,All,assault,murder,243,2021
Malaysia,All,assault,murder,240,2022
Malaysia,All,assault,rape,1886,2016
Malaysia,All,assault,rape,1835,2017
Malaysia,All,assault,rape,1648,2018
Malaysia,All,assault,rape,1738,2019
Malaysia,All,assault,rape,1582,2020
Malaysia,All,assault,rape,1553,2021
Malaysia,All,assault,rape,1712,2022
Malaysia,All,assault,robbery_gang_armed,65,2016
Malaysia,All,assault,robbery_gang_armed,31,2017
Malaysia,All,assault,robbery_gang_armed,31,2018
Malaysia,All,assault,robbery_gang_armed,21,2019
Malaysia,All,assault,robbery_gang_armed,6,2020
Malaysia,All,assault,robbery_gang_armed,5,2021
Malaysia,All,assault,robbery_gang_armed,16,2022
Malaysia,All,assault,robbery_gang_unarmed,10907,2016
Malaysia,All,assault,robbery_gang_unarmed,9779,2017
Malaysia,All,assault,robbery_gang_unarmed,6543,2018
Malaysia,All,assault,robbery_gang_unarmed,6058,2019
Malaysia,All,assault,robbery_gang_unarmed,2992,2020
Malaysia,All,assault,robbery_gang_unarmed,3071,2021
Malaysia,All,assault,robbery_gang_unarmed,2432,2022
Malaysia,All,assault,robbery_solo_armed,19,2016
Malaysia,All,assault,robbery_solo_armed,3,2017
Malaysia,All,assault,robbery_solo_armed,9,2018
