Type,Crimes,Year
causing_injury,5531,2016
causing_injury,5024,2017
causing_injury,4660,2018
causing_injury,4712,2019
causing_injury,4118,2020
causing_injury,4063,2021
causing_injury,3807,2022
murder,456,2016
murder,379,2017
murder,323,2018
murder,310,2019
murder,253,2020
murder,243,2021
murder,240,2022
rape,1886,2016
rape,1835,2017
rape,1648,2018
rape,1738,2019
rape,1582,2020
rape,1553,2021
rape,1712,2022
robbery_gang_armed,65,2016
robbery_gang_armed,31,2017
robbery_gang_armed,31,2018
robbery_gang_armed,21,2019
robbery_gang_armed,6,2020
robbery_gang_armed,5,2021
robbery_gang_armed,16,2022
robbery_gang_unarmed,10907,2016
robbery_gang_unarmed,9779,2017
robbery_gang_unarmed,6543,2018
robbery_gang_unarmed,6058,2019
robbery_gang_unarmed,2992,2020
robbery_gang_unarmed,3071,2021
robbery_gang_unarmed,2432,2022
robbery_solo_armed,19,2016
robbery_solo_armed,3,2017
robbery_solo_armed,9,2018
robbery_solo_armed,9,2019
robbery_solo_armed,5,2020
robbery_solo_armed,2,2021
robbery_solo_armed,7,2022
robbery_solo_unarmed,3463,2016
robbery_solo_unarmed,4315,2017
robbery_solo_unarmed,3688,2018
robbery_solo_unarmed,3641,2019
robbery_solo_unarmed,4323,2020
robbery_solo_unarmed,2558,2021
robbery_solo_unarmed,2134,2022
break_in,18760,2016
break_in,16201,2017
break_in,15742,2018
break_in,16497,2019
break_in,14040,2020
break_in,11352,2021
break_in,10585,2022
theft_other,22857,2016
theft_other,19444,2017
theft_other,20065,2018
theft_other,19603,2019
theft_other,16725,2020
theft_other,16695,2021
theft_other,15434,2022
